die Voraussetzung,requirement
die Auswirkung,effect
der Zusammenhang,connection
die Erkenntnis,finding
die Vorgehensweise,approach
die Schlussfolgerung,conclusion
die Annahme,assumption
der Nachweis,evidence
die Einschätzung,assessment
die Begründung,reasoning
berücksichtigen,to take into account
bewerten,to assess
ermitteln,to determine
nachweisen,to demonstrate
gewährleisten,to ensure
überprüfen,to verify
maßgeblich,decisive
nachvollziehbar,comprehensible
aussagekräftig,meaningful
gegebenenfalls,if necessary
